Extension,legacy,4.0.0,post-4.0.0,4.0.1,post-4.0.1,4.1.0,post-4.1.0,4.1.1,post-4.1.1,4.2.0,post-4.2.0,4.2.1,post-4.2.1,4.2.2,post-4.2.2,4.2.2-1,post-4.2.2-1,4.3.0,post-4.3.0,4.3.1,post-4.3.1,4.3.1-1,post-4.3.1-1,4.4.0,post-4.4.0,4.5.0-1,post-4.5.0-1,4.6.0,post-4.6.0,4.6.2,post-4.6.2,4.8.0,post-4.8.0,4.8.1,post-4.8.1,4.10.0,post-4.10.0,4.10.1,post-4.10.1,4.10.2,post-4.10.2,4.11.20200930,post-4.11.20200930,4.11.20210226,post-4.11.20210226,unknown
SwissSkullStripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,117,872,673,1107,0,7503,829,8614,862,5777,97,479,1035,2981,306,744,1278,3728,0,996,670,1083,54630,3784,1372,141,329,90,60
UKFTractography,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1434,49,586,246,255,0,4024,206,5064,195,3640,60,278,591,5335,770,820,2475,4433,0,996,1270,631,60412,4176,1945,206,627,140,25
TCIABrowser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6131,361,8595,325,5745,56,548,473,5585,163,2715,657,3189,0,935,316,883,57386,2405,748,67,161,45,24
CurveMaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,466,8581,407,5761,77,549,741,5841,271,733,1016,3653,0,946,504,1060,57323,3759,1588,144,453,102,24
VolumeClip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,841,8858,829,5918,130,580,1271,6035,431,782,1362,4019,0,1058,617,1118,51609,3882,1247,154,281,125,25
XNATSlicer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264,56,858,237,1099,0,7364,299,6203,38,2705,23,332,63,3543,90,649,222,2916,0,869,185,925,54046,2826,335,25,35,29,24
iGyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473,175,8394,111,5578,37,543,343,5414,75,653,211,2956,0,879,185,916,48965,2828,321,22,31,22,24
SlicerRT,0,0,0,0,0,0,0,0,2596,145,322,127,381,0,0,214,4771,214,931,2221,1122,0,6522,2374,7730,2063,5862,246,475,3010,5998,1166,851,4406,4906,0,1119,2088,1297,8432,5446,3954,321,1463,286,52
SPHARM-PDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50286,0,0,4434,492,4697,476,2086,0,0,25,1937,184,466,435,2994,0,599,145,383,13034,64,153,20,162,0,6
IASEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,54,860,225,1079,0,7268,269,7850,209,4920,0,0,0,2268,102,651,305,2918,0,863,144,379,49131,0,0,0,0,0,0
PickAndPaintExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,2616,320,5717,52,548,406,5540,146,675,369,2972,0,877,175,933,53555,3079,1335,67,149,73,49
SlicerVMTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,2867,456,602,1386,1551,0,827,816,584,61888,3739,1291,186,553,22,24
SegmentationWizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,402,751,1264,3852,0,986,704,1113,60709,3849,881,125,327,100,24
T1Mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,358,5648,66,474,550,5508,165,689,532,3223,0,930,372,1133,50230,3052,639,63,122,52,25
TOMAAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,3451,0,884,499,952,56167,3062,557,56,80,43,22
T2mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,407,3185,0,919,294,1038,55556,3005,646,63,85,53,25
lapdMouseBrowser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,412,195,929,54581,2843,312,21,28,26,24
SlicerIGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5128,102,846,582,1136,0,6297,843,7298,852,5962,112,483,939,6058,406,750,1605,3725,0,1022,1011,1117,2446,5338,2699,403,1184,337,27
SNRMeasurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837,0,861,122,923,49213,2837,319,20,45,24,24
SlicerLayoutButtons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0,827,167,963,49861,2827,82,23,24,27,24
ChangeTracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4209,82,851,515,1102,0,7338,600,8475,523,5708,86,478,811,5629,234,710,770,3271,0,911,338,996,2739,3167,1649,77,186,64,24
PkModeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,56,859,245,1095,0,6531,267,8440,189,5646,41,473,279,4967,112,655,293,3027,0,878,132,369,14905,0,0,0,0,0,0
CMFreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,142,482,1195,0,7339,533,8530,494,5259,89,495,953,5914,447,759,1230,3553,0,954,720,1034,5673,3607,824,98,339,14,335
SkullStripper,0,0,0,0,0,314,1444,31,4092,84,357,77,268,0,0,170,4948,109,867,719,1092,0,4560,0,7334,723,5716,98,489,987,1134,292,713,1042,3707,0,932,520,548,1570,3371,569,83,369,15,24
MatlabBridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,92,881,840,1102,0,6826,874,8303,634,5558,101,486,831,5468,266,689,873,2840,0,710,363,1068,3896,3025,568,86,304,19,24
SlicerProstate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,408,5828,76,510,1175,6165,388,694,1068,3590,0,1004,528,1059,16951,1626,1321,136,305,86,0
PerkTutor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,63,864,239,1126,0,6339,262,7786,214,5147,45,470,340,5311,135,657,398,2441,0,816,165,902,4770,2859,110,44,42,9,69
PetSpectAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,7329,196,5691,48,547,347,5453,123,661,377,3004,0,871,171,933,14247,2933,980,30,81,40,24
PETDICOMExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,501,8530,362,4862,71,305,700,5294,483,741,1665,4307,0,1038,780,1117,4247,4151,2426,189,746,114,58
IntensitySegmenter,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,1624,722,8508,561,5628,84,488,836,5336,298,714,763,3410,0,923,367,1097,1610,9621,483,87,179,71,24
SlicerToKiwiExporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,71,885,337,1090,0,7382,396,8507,325,5712,55,541,522,5584,157,687,532,3102,0,894,196,947,1513,3021,242,42,96,43,24
PETTumorSegmentation,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,281,6604,307,5656,61,489,572,5506,220,675,671,2596,0,898,78,380,14553,695,1169,58,164,40,24
ABC,0,0,0,0,0,0,0,0,570,76,353,57,225,0,0,116,4600,74,876,471,1091,0,7328,367,4704,319,5640,73,464,760,5274,259,709,796,3564,0,918,402,382,1109,0,0,0,0,0,0
ModelToModelDistance,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,0,0,5562,724,7611,770,5544,37,274,293,4485,343,746,1064,3468,0,953,669,1038,1946,2896,884,174,369,153,69
